id,port_name,Continent_Code,country,iso3,lat,lon,handling,vessel_type_main
port666,Luba,AF,Equatorial Guinea,GNQ,3.463105582577246,8.546939103484746,0.30766004538899777,Dry bulk
port685,Malabo,AF,Equatorial Guinea,GNQ,3.769523972206384,8.734459388136063,0.30766004538899777,Dry bulk
port568,Kilifi,AF,Kenya,KEN,-3.638840564304183,39.84518375838605,0.2863495199045293,Dry bulk
port631,Lamu,AF,Kenya,KEN,-2.196462578033227,40.91448116816421,0.2863495199045293,Dry bulk
port757,Mombasa,AF,Kenya,KEN,-4.048091982541382,39.63446709684509,0.2863495199045293,Dry bulk
port181,Buchanan,AF,Liberia,LBR,5.865644367093735,-10.04409800779818,0.338799285750217,Dry bulk
port762,Monrovia,AF,Liberia,LBR,6.341981658699402,-10.79402872995632,0.338799285750217,Dry bulk
port21,Al Burayqah,AF,Libya,LBY,30.40706633923775,19.59836261012913,0.31674292314488844,Dry bulk
port334,Ez Zueitina,AF,Libya,LBY,30.89542737118654,20.08311578731142,0.31674292314488844,Dry bulk
port85,Az Zawiya,AF,Libya,LBY,32.78550355961522,12.70000845191214,0.31674292314488844,Dry bulk
port562,Khoms,AF,Libya,LBY,32.67784227160238,14.24506822696737,0.31674292314488844,Dry bulk
port710,Marsa Sabratah,AF,Libya,LBY,32.85456190844894,12.23806372178882,0.31674292314488844,Dry bulk
port748,Mina Tarabulus (Tripoli),AF,Libya,LBY,32.90465618797266,13.20058360538773,0.29076513776993057,Dry bulk
port750,Misratah,AF,Libya,LBY,32.34398378844146,15.21512828327378,0.31674292314488844,Dry bulk
port110,Banghazi,AF,Libya,LBY,32.11152540378446,20.04737391653894,0.3427207085198463,Dry bulk
port734,Mersa Tobruq,AF,Libya,LBY,32.06112408766516,23.98421661587382,0.31674292314488844,Dry bulk
port10,Agadir,AF,Morocco,MAR,30.43857834659478,-9.649161717511673,0.338799285750217,Dry bulk
port220,Casablanca,AF,Morocco,MAR,33.60660010425234,-7.578850395884303,0.2788371163951213,Dry bulk
port319,El Jorf Lasfar,AF,Morocco,MAR,33.11351890616566,-8.609401597566807,0.2861369647012597,Dry bulk
port756,Mohammedia,AF,Morocco,MAR,33.71924500429424,-7.395453828790674,0.301257788948866,Dry bulk
port971,Port Nador,AF,Morocco,MAR,35.28304916504166,-2.923755551367044,0.301257788948866,Dry bulk
